"c1" "c2" "c3" "c4" "t1" "t2" "t3" "t4"
"67" 0 0 0 0 0 0 0 0
"68" 8 9 7 8 7 9 6 7
"69" 17 17 20 24 8 6 8 8
"70" 11 19 13 14 19 29 21 20
"71" 3 3 5 9 13 8 8 9
"72" 0 2 2 2 2 5 3 4
"73" 1 2 3 3 1 2 6 4
"74" 9 8 7 6 13 5 8 9
"75" 1 1 1 2 1 1 1 3
"76" 0 0 0 0 0 0 0 0
"77" 8 8 7 4 16 7 6 7
"78" 23 24 24 39 38 51 50 30
"79" 6 7 3 2 4 2 8 11
"80" 7 18 12 16 25 21 19 17
"81" 4 5 0 4 4 9 7 6
"82" 5 3 5 1 2 0 4 0
"83" 4 3 0 1 4 7 6 3
"84" 51 38 42 59 75 87 57 63
"85" 7 11 3 10 5 8 3 11
"86" 86 150 62 118 178 158 217 113
"87" 23 23 28 30 32 39 32 32
"88" 2 1 3 5 2 1 2 3
"89" 8 5 6 6 5 5 10 8
"90" 1 11 3 7 5 6 5 7
"91" 8 3 8 10 12 9 4 5
"92" 5 9 1 5 5 11 9 5
"93" 15 10 19 33 40 22 24 30
"94" 0 0 0 0 0 0 0 0
"95" 3 2 0 3 3 2 5 2
"96" 7 6 4 8 5 12 7 7
"97" 3 5 4 10 6 13 7 8
"98" 42 70 42 48 52 73 71 82
"99" 3 5 2 0 5 4 5 4
"100" 2 5 1 2 5 3 3 3
"101" 7 7 1 2 7 6 6 6
"102" 3 13 7 13 25 18 18 20
"103" 9 12 6 12 2 7 9 5
"104" 18 48 33 44 47 28 64 35
"105" 12 16 4 7 15 17 14 14
"106" 0 0 0 0 0 0 0 0
"107" 3 4 6 3 8 13 4 8
"108" 0 0 0 0 0 0 0 0
"109" 19 18 15 13 37 44 44 47
"110" 2 1 4 0 5 3 2 4
"111" 28 44 47 34 47 73 48 39
"112" 14 13 8 14 8 6 6 4
"113" 70 73 89 148 102 93 77 86
"114" 0 0 0 0 0 0 0 0
"115" 32 40 37 59 42 45 31 43
"116" 27 29 14 40 43 32 31 31
"117" 7 19 6 23 10 13 22 27
"118" 17 25 14 24 24 17 24 20
"119" 26 46 18 22 43 40 36 48
"120" 0 0 0 0 0 0 0 0
"121" 0 0 0 0 0 0 0 0
"122" 5 10 2 8 6 11 8 10
"123" 18 19 27 20 18 19 18 24
"124" 10 12 9 11 16 12 11 6
"125" 11 9 2 8 13 4 9 11
"126" 14 13 9 20 30 45 13 28
"127" 18 17 9 17 20 22 24 21
"128" 18 12 12 11 20 12 13 19
"129" 1 2 5 3 6 4 1 7
"130" 7 7 3 8 12 9 11 6
"131" 6 13 4 10 6 7 3 2
"132" 2 0 3 5 6 3 4 8
"133" 14 11 5 10 19 16 10 11
"134" 2 3 2 12 6 5 4 7
"135" 0 0 0 0 0 0 0 0
"136" 25 29 21 47 39 30 37 29
"137" 6 2 1 0 4 5 8 6
"138" 3 4 1 5 4 1 7 2
"139" 4 20 3 0 1 2 0 2
"140" 3 2 0 2 1 2 2 6
"141" 0 0 0 0 0 0 0 0
"142" 0 0 0 3 1 2 6 2
"143" 18 12 21 14 12 8 11 24
"144" 32 42 34 25 42 44 48 48
"145" 11 9 5 7 14 10 14 10
"146" 8 5 9 17 13 10 15 7
"147" 5 2 0 7 1 1 3 4
"148" 8 3 14 4 10 19 11 9
"149" 4 5 8 8 26 17 20 31
"150" 4 7 10 8 15 10 10 10
"151" 4 4 4 5 0 6 2 9
"152" 0 0 0 0 0 0 0 0
"153" 8 1 2 5 7 7 5 7
"154" 69 56 57 75 72 111 88 94
"155" 0 0 0 0 0 0 0 0
"156" 0 0 0 0 0 0 0 0
"157" 14 15 4 16 18 14 23 15
"158" 4 1 2 3 2 5 6 1
"159" 38 47 53 43 35 63 56 69
"160" 4 3 4 3 7 10 7 4
"161" 47 47 33 70 67 75 83 70
"162" 0 0 0 0 0 0 0 0
"163" 12 26 12 25 20 23 9 14
"164" 18 12 16 24 6 10 10 11
"165" 2 3 0 1 1 4 3 1
"166" 33 68 30 65 92 59 58 75
"167" 0 0 0 0 0 0 0 0
"168" 34 24 30 35 37 24 24 42
"169" 10 3 6 5 7 19 6 9
"170" 0 0 0 0 0 0 0 0
"171" 3 5 2 3 3 6 7 7
"172" 3 2 3 2 3 3 4 6
"173" 0 0 0 0 0 0 0 0
"174" 12 12 18 24 22 24 21 19
"175" 84 68 74 119 154 97 127 90
"176" 2 7 4 5 16 3 6 5
"177" 0 2 0 4 2 2 0 3
"178" 0 0 0 0 0 0 0 0
"179" 14 9 10 13 9 17 10 13
"180" 4 1 1 1 9 11 4 8
"181" 4 4 3 3 4 3 5 1
"182" 1 1 1 3 2 1 0 2
"183" 7 12 4 11 16 13 6 12
"184" 16 24 19 13 25 13 21 26
"185" 36 20 36 20 38 34 38 23
"186" 5 3 3 0 0 2 4 4
"187" 20 20 12 10 21 19 20 13
"188" 0 2 0 4 1 3 3 4
"189" 18 26 21 28 66 132 74 84
"190" 0 3 3 1 5 2 5 3
"191" 0 1 8 2 4 2 5 5
"192" 32 51 20 55 27 24 17 20
"193" 0 0 0 0 0 0 0 0
"194" 9 11 12 19 12 10 14 8
"195" 11 18 14 12 8 9 11 20
"196" 19 61 40 37 26 18 31 27
"197" 0 0 1 1 1 3 0 0
"198" 15 13 12 19 19 9 10 21
"199" 30 41 24 47 51 53 39 66
"200" 0 0 0 0 0 0 0 0
"201" 16 12 18 20 29 22 18 17
"202" 0 0 0 0 0 0 0 0
"203" 2 2 0 3 0 4 1 3
"204" 40 35 18 34 20 26 37 39
"205" 1 3 2 6 5 3 6 8
"206" 24 20 36 39 33 28 46 39
"207" 3 9 3 5 9 7 5 6
"208" 49 50 26 43 57 64 56 47
"209" 10 18 5 12 14 20 10 17
"210" 37 43 11 50 45 52 46 38
"211" 0 0 0 0 0 0 0 0
"212" 12 15 13 18 13 17 12 2
"213" 0 0 0 0 0 0 0 0
"214" 4 5 4 5 5 10 6 7
"215" 6 8 1 9 11 7 19 15
"216" 5 16 4 9 6 3 1 3
"217" 7 10 8 4 15 7 6 8
"218" 11 8 9 7 10 23 13 14
"219" 2 3 3 1 6 0 3 3
"220" 8 13 16 15 8 24 15 4
"221" 0 0 0 0 0 0 0 0
"222" 9 6 26 13 12 17 2 15
"223" 0 0 0 0 0 0 0 0
"224" 0 1 2 1 0 1 0 1
"225" 53 54 39 46 60 90 112 82
"226" 24 26 21 35 35 34 40 41
"227" 0 0 0 0 0 0 0 0
"228" 12 5 5 6 5 11 3 3
"229" 3 9 2 8 11 6 7 5
"230" 151 95 137 172 143 119 156 126
"231" 3 5 3 5 5 3 2 3
"232" 4 2 3 5 14 2 8 12
"233" 5 3 0 2 5 1 4 6
"234" 0 4 0 2 3 3 1 0
"235" 24 20 29 28 46 29 34 48
"236" 0 0 0 0 0 0 0 0
"237" 3 3 6 5 3 9 5 3
"238" 0 0 0 0 0 0 0 0
"239" 9 6 10 9 18 19 12 12
"240" 6 5 5 3 19 6 12 11
"241" 0 0 0 0 0 0 0 0
"242" 5 11 7 13 21 46 20 33
"243" 49 65 37 46 41 52 45 52
"244" 17 18 13 10 19 14 31 16
"245" 23 36 36 49 55 75 53 36
"246" 0 0 0 0 0 0 0 0
"247" 9 14 6 11 23 16 16 14
"248" 6 15 4 3 15 4 13 4
"249" 3 1 3 3 1 1 5 1
"250" 0 0 0 0 0 0 0 0
"251" 29 32 23 26 24 29 27 19
"252" 9 11 2 12 8 10 2 10
"253" 8 7 5 12 7 11 5 11
"254" 12 8 8 15 29 16 14 21
"255" 2 4 4 6 1 4 2 8
"256" 1 7 6 8 8 15 8 4
"257" 0 7 2 5 1 4 2 2
"258" 0 0 0 0 0 0 0 0
"259" 4 3 4 2 12 10 3 7
"260" 33 43 28 32 32 56 36 53
"261" 0 0 0 0 0 0 0 0
"262" 0 0 0 0 0 0 0 0
"263" 12 9 10 8 17 27 11 16
"264" 9 8 7 14 10 12 6 11
"265" 19 8 11 4 13 18 6 17
"266" 15 15 23 30 23 26 10 26
"267" 0 0 0 0 0 0 0 0
"268" 0 8 0 5 1 2 10 12
"269" 4 5 4 5 5 11 5 4
"270" 4 18 10 20 19 9 19 10
"271" 16 14 20 21 17 12 11 6
"272" 8 11 9 8 6 7 6 18
"273" 25 23 19 30 21 26 28 26
"274" 0 0 0 0 0 0 0 0
"275" 0 0 0 0 0 0 0 0
"276" 14 16 15 13 20 15 16 31
"277" 11 9 2 8 15 10 11 8
"278" 16 28 27 24 33 15 28 22
"279" 0 0 0 0 0 0 0 0
"280" 1 1 1 1 3 1 2 0
"281" 65 51 72 68 164 146 190 176
"282" 53 46 26 37 70 73 41 62
"283" 0 0 0 0 0 0 0 0
"284" 0 0 0 0 0 0 0 0
"285" 0 0 0 0 0 0 0 0
"286" 0 0 0 0 0 0 0 0
"287" 15 10 9 18 13 11 16 21
"288" 23 42 17 30 29 25 27 26
"289" 88 80 40 61 72 108 83 86
"290" 7 10 3 4 6 4 9 5
"291" 5 8 1 1 9 9 10 7
"292" 5 7 6 7 5 8 5 9
"293" 8 11 16 8 18 9 11 21
"294" 9 16 13 10 11 13 16 8
"295" 19 23 5 19 24 20 19 14
"296" 5 13 5 12 6 15 8 21
"297" 1 8 3 3 6 3 2 4
"298" 0 0 0 0 0 0 0 0
"299" 143 116 80 99 120 88 146 205
"300" 0 0 0 0 0 0 0 0
"301" 3 5 2 8 8 10 11 6
"302" 0 0 0 0 0 0 0 0
"303" 6 8 1 10 8 11 14 2
"304" 69 73 47 65 34 71 68 51
"305" 44 20 17 44 42 49 52 66
"306" 15 17 13 18 22 23 21 14
"307" 14 11 12 22 16 24 14 10
"308" 22 28 27 23 101 102 61 70
"309" 4 8 2 6 12 15 8 9
"310" 1 1 3 2 0 3 1 0
"311" 4 10 3 3 0 9 5 3
"312" 6 4 2 5 5 1 1 2
"313" 7 10 4 7 14 9 6 10
"314" 14 9 9 15 19 20 15 12
"315" 64 66 59 109 63 91 63 87
"316" 45 52 41 55 54 61 78 65
"317" 25 24 22 21 28 28 17 31
"318" 0 0 0 0 0 0 0 0
"319" 76 102 45 66 95 88 138 101
"320" 21 17 25 24 41 66 38 25
"321" 10 4 2 16 10 12 12 7
"322" 7 13 7 14 22 23 13 20
"323" 49 43 59 44 50 57 50 65
"324" 1 2 4 5 1 3 0 3
"325" 18 26 12 28 37 34 37 29
"326" 0 0 0 0 0 0 0 0
"327" 3 4 2 8 6 5 10 9
"328" 15 27 9 15 6 23 14 20
"329" 0 0 0 0 0 0 0 0
"330" 12 13 10 26 18 10 11 8
"331" 0 0 0 0 0 0 0 0
"332" 7 11 11 13 15 20 18 15
"333" 0 0 0 0 0 0 0 0
"334" 0 0 0 0 0 0 0 0
"335" 15 23 17 24 24 25 21 26
"336" 56 71 73 55 59 114 96 88
"337" 8 25 19 20 26 27 21 23
"338" 11 7 3 8 15 11 3 23
"339" 9 8 6 6 9 13 9 11
"340" 3 5 3 4 13 12 9 3
"341" 2 0 1 2 1 2 0 4
"342" 37 36 23 30 76 31 47 46
"343" 0 0 0 0 0 0 0 0
"344" 24 18 24 33 130 75 87 125
"345" 0 0 0 0 0 0 0 0
"346" 6 4 8 10 10 9 13 8
"347" 0 0 0 0 0 0 0 0
"348" 6 8 9 12 15 17 16 5
"349" 22 25 16 23 27 30 62 23
"350" 2 1 1 1 5 3 4 0
"351" 3 0 1 0 2 0 1 4
"352" 2 4 4 2 0 1 4 3
"353" 8 3 8 7 14 15 9 11
"354" 10 14 10 8 14 19 22 12
"355" 14 28 13 26 34 29 40 29
"356" 4 19 16 17 17 8 19 14
"357" 9 16 13 6 14 9 11 19
"358" 6 6 2 4 5 3 10 1
"359" 0 0 0 0 0 0 0 0
"360" 0 0 0 0 0 0 0 0
"361" 2 1 3 1 4 2 3 4
"362" 0 0 0 0 0 0 0 0
"363" 6 7 8 16 7 13 14 5
"364" 17 20 15 17 16 15 10 14
"365" 4 8 6 7 7 6 7 10
"366" 0 0 0 0 0 0 0 0
"367" 17 9 9 8 11 7 16 20
"368" 0 0 0 0 0 0 0 0
"369" 13 16 13 9 22 19 8 8
"370" 0 0 0 0 0 0 0 0
"371" 46 82 55 80 17 34 31 35
"372" 1 0 0 1 3 4 3 3
"373" 24 23 11 15 20 22 13 12
"374" 8 12 6 6 14 18 13 11
"375" 13 17 8 12 17 28 8 33
"376" 0 0 0 0 0 0 0 0
"377" 16 8 10 9 12 7 8 6
"378" 2 3 0 0 3 5 3 2
"379" 26 25 43 47 31 39 41 37
"380" 6 5 3 8 1 4 4 1
"381" 20 15 15 19 29 13 16 26
"382" 3 2 0 3 2 3 4 1
"383" 9 13 11 11 14 24 15 20
"384" 0 0 0 0 0 0 0 0
"385" 19 27 15 23 24 32 18 22
"386" 0 0 0 0 0 0 0 0
"387" 9 10 13 12 14 23 15 17
"388" 1 0 1 0 1 1 1 2
"389" 0 0 0 0 0 0 0 0
"390" 0 0 0 0 0 0 0 0
"391" 8 14 11 15 47 40 36 41
"392" 8 14 11 26 21 23 28 35
"393" 0 1 2 1 1 0 0 0
"394" 41 68 36 66 191 193 220 218
"395" 5 3 7 4 3 6 5 7
"396" 9 12 7 12 15 10 10 14
"397" 0 0 0 0 0 0 0 0
"398" 11 19 9 15 18 10 15 21
"399" 6 21 6 11 8 18 14 10
"400" 13 12 23 14 21 27 26 14
"401" 0 0 0 0 0 0 0 0
"402" 0 0 0 0 0 0 0 0
"403" 0 0 0 0 0 0 0 0
"404" 1 5 1 2 3 2 5 2
"405" 0 0 0 0 0 0 0 0
"406" 0 0 0 0 0 0 0 0
"407" 0 0 0 0 0 0 0 0
"408" 7 1 4 10 6 5 7 4
"409" 0 0 0 1 0 2 1 1
"410" 0 0 0 1 3 3 3 4
"411" 1 7 15 15 13 6 5 12
"412" 0 0 0 0 0 0 0 0
"413" 15 28 21 20 25 54 33 30
"414" 11 15 10 6 9 11 13 6
"415" 53 84 83 95 38 29 43 24
"416" 2 6 3 0 3 4 0 2
"417" 33 42 32 31 45 35 62 35
"418" 7 9 4 9 8 3 6 11
"419" 9 9 7 1 5 11 11 4
"420" 0 0 0 0 0 0 0 0
"421" 0 0 0 0 0 0 0 0
"422" 11 11 7 9 8 11 5 9
"423" 13 26 31 25 102 81 77 105
"424" 4 2 2 3 3 3 3 3
"425" 1 2 2 4 3 5 4 5
"426" 11 4 7 6 17 27 12 16
"427" 0 8 3 7 8 11 9 2
"428" 17 24 23 30 59 70 82 58
"429" 0 0 0 0 0 0 0 0
"430" 8 3 5 7 9 10 9 7
"431" 53 85 45 51 59 94 68 71
"432" 8 7 1 4 5 4 3 3
"433" 0 0 0 0 0 0 0 0
"434" 9 16 16 25 13 24 22 18
"435" 4 1 5 6 3 7 7 3
"436" 16 13 16 20 19 32 15 17
"437" 2 0 2 8 3 2 1 0
"438" 17 18 11 15 13 8 10 18
"439" 60 32 48 42 62 69 57 81
"440" 94 90 50 80 104 92 105 95
"441" 16 29 27 21 28 23 18 32
"442" 0 0 0 0 0 0 0 0
"443" 6 4 4 2 5 6 6 3
"444" 0 0 0 0 0 0 0 0
"445" 0 1 1 3 0 0 1 4
"446" 0 0 0 0 0 0 0 0
"447" 46 58 29 51 41 72 51 56
"448" 19 18 13 19 43 77 48 68
"449" 14 20 16 13 15 18 19 25
"450" 4 9 4 9 8 5 4 11
"451" 7 5 3 6 15 7 6 10
"452" 21 20 24 37 26 37 24 20
"453" 91 60 45 102 100 91 107 68
"454" 2 3 5 5 17 9 14 11
"455" 35 49 48 57 94 60 54 75
"456" 0 0 0 0 0 0 0 0
"457" 0 0 0 0 0 0 0 0
"458" 3 21 7 13 9 13 14 13
"459" 3 6 0 2 2 10 11 2
"460" 0 5 1 2 3 0 3 2
"461" 10 9 3 8 12 6 6 8
"462" 0 0 0 0 0 0 0 0
"463" 0 2 2 1 1 0 1 2
"464" 2 3 4 2 4 2 5 0
"465" 2 0 3 5 9 8 7 15
"466" 14 12 9 20 9 25 2 19
"467" 8 3 1 8 2 8 7 9
"468" 7 12 11 4 14 11 10 9
"469" 3 11 5 9 6 11 5 5
"470" 0 1 0 0 2 3 4 5
"471" 12 3 14 11 16 8 21 21
"472" 14 44 14 28 30 33 43 25
"473" 39 49 29 46 117 127 84 129
"474" 5 8 4 8 19 15 13 18
"475" 1 0 1 3 2 5 5 5
"476" 2 5 2 4 8 4 3 4
"477" 0 0 0 0 0 0 0 0
"478" 21 16 19 14 13 9 28 21
"479" 0 0 2 3 11 15 6 11
"480" 0 0 0 0 0 0 0 0
"481" 10 10 5 12 7 12 17 13
"482" 27 43 24 18 26 20 31 20
"483" 0 0 0 0 0 0 0 0
"484" 0 0 0 0 0 0 0 0
"485" 0 0 0 0 0 0 0 0
"486" 31 45 39 69 37 53 43 45
"487" 0 0 0 0 0 0 0 0
"488" 6 8 6 8 6 12 10 15
"489" 3 7 2 6 3 4 2 7
"490" 1 6 0 2 1 2 3 3
"491" 0 0 0 0 0 0 0 0
"492" 8 2 5 1 0 6 4 2
"493" 9 11 5 16 16 11 10 12
"494" 0 0 0 0 0 0 0 0
"495" 13 11 6 9 23 11 13 13
"496" 8 21 11 11 29 30 20 26
"497" 9 27 15 20 9 15 5 9
"498" 0 0 0 0 0 0 0 0
"499" 41 25 25 31 23 45 29 47
"500" 35 30 27 20 34 48 32 25
"501" 20 29 47 40 36 44 55 43
"502" 0 0 0 0 0 0 0 0
"503" 0 0 0 0 0 0 0 0
"504" 20 17 13 26 30 14 15 10
"505" 27 49 15 21 40 36 27 42
"506" 0 0 0 0 0 0 0 0
"507" 9 11 6 5 16 13 8 17
"508" 40 22 23 35 14 29 22 17
"509" 0 0 0 0 0 0 0 0
"510" 10 9 4 4 8 7 9 6
"511" 0 0 0 0 0 0 0 0
"512" 0 0 0 0 0 0 0 0
"513" 6 15 6 9 10 17 17 16
"514" 3 2 2 4 0 0 2 7
"515" 21 26 29 29 46 35 27 22
"516" 12 28 13 25 32 25 23 19
"517" 5 9 6 12 13 17 14 16
"518" 12 28 13 9 12 20 10 18
"519" 64 59 35 57 96 103 51 83
"520" 0 0 0 0 0 0 0 0
"521" 0 0 0 0 0 0 0 0
"522" 0 0 0 0 0 0 0 0
"523" 0 0 0 0 0 0 0 0
"524" 17 26 14 30 31 29 18 17
"525" 0 0 0 0 0 0 0 0
"526" 0 0 0 0 0 0 0 0
"527" 29 34 31 41 40 48 76 59
"528" 5 16 7 13 16 15 16 9
"529" 14 13 9 7 16 5 12 6
"530" 13 20 9 11 23 17 12 17
"531" 0 0 0 0 0 0 0 0
"532" 0 0 0 0 0 0 0 0
"533" 0 0 0 0 0 0 0 0
"534" 8 5 3 8 3 9 6 5
"535" 16 17 22 25 20 13 16 25
"536" 5 21 12 6 19 16 20 14
"537" 4 0 4 2 4 6 4 5
"538" 17 31 16 10 16 25 11 14
"539" 10 20 15 15 18 18 24 16
"540" 3 3 6 2 9 4 8 3
"541" 0 0 0 0 0 0 0 0
"542" 4 14 9 4 13 13 16 9
"543" 0 0 0 0 0 0 0 0
"544" 97 204 133 121 175 202 194 177
"545" 2 3 0 2 0 2 1 0
"546" 20 28 30 34 44 47 29 20
"547" 23 27 22 35 32 25 23 48
"548" 5 15 8 5 6 13 10 5
"549" 0 0 0 0 0 0 0 0
"550" 0 0 0 0 0 0 0 0
"551" 0 0 0 0 0 0 0 0
"552" 3 7 1 4 13 8 4 2
"553" 3 9 7 8 9 8 13 7
"554" 2 3 5 3 3 2 0 0
"555" 23 34 21 44 40 51 36 31
"556" 51 35 39 54 33 63 61 29
"557" 9 5 0 8 8 4 2 10
"558" 4 3 4 9 13 9 11 9
"559" 0 0 0 0 0 0 0 0
"560" 4 7 10 6 8 2 9 6
"561" 59 75 62 70 42 64 54 71
"562" 24 18 9 14 12 23 14 7
"563" 14 10 6 13 61 62 36 99
"564" 0 0 0 0 0 0 0 0
"565" 62 59 35 75 62 72 50 92
"566" 0 3 5 2 10 3 7 5
"567" 11 7 6 19 18 19 12 11
"568" 28 37 30 37 30 43 44 45
"569" 8 13 8 7 9 7 10 10
"570" 0 0 0 0 0 0 0 0
"571" 9 8 8 9 4 9 6 10
"572" 9 6 7 5 9 14 14 16
"573" 1 1 1 1 5 4 1 1
"574" 13 6 10 9 9 15 12 9
"575" 0 1 1 2 3 2 0 1
"576" 3 5 6 7 9 8 5 8
"577" 1 3 4 0 2 4 4 3
"578" 0 0 0 0 0 0 0 0
"579" 13 28 19 21 18 34 27 25
"580" 2 4 2 2 4 4 2 2
"581" 3 4 6 8 8 9 7 6
"582" 8 7 9 9 11 13 3 10
"583" 17 17 20 27 22 18 20 13
"584" 23 57 27 21 18 32 16 29
"585" 28 17 13 22 26 25 28 22
"586" 0 0 0 0 0 0 0 0
"587" 0 0 0 0 0 0 0 0
"588" 0 0 0 0 0 0 0 0
"589" 23 19 17 37 27 22 51 27
"590" 7 13 12 11 13 17 15 20
"591" 0 0 0 0 0 0 0 0
"592" 2 4 0 3 0 1 1 1
"593" 11 13 11 14 12 8 16 6
"594" 0 0 0 0 0 0 0 0
"595" 15 21 11 12 17 17 16 20
"596" 0 0 0 0 0 0 0 0
"597" 10 7 16 30 26 37 31 18
"598" 15 9 15 13 10 8 1 9
"599" 1 7 1 3 6 3 2 3
"600" 0 0 0 0 0 0 0 0
"601" 1 0 1 3 4 5 6 2
"602" 0 0 0 0 0 0 0 0
"603" 10 13 24 22 21 16 23 31
"604" 10 27 18 11 19 28 22 30
"605" 6 5 8 12 7 11 6 9
"606" 24 32 23 29 38 48 43 28
"607" 0 0 0 0 0 0 0 0
"608" 10 14 9 19 8 18 9 10
"609" 5 13 19 22 25 21 20 11
"610" 30 39 15 29 46 28 15 38
"611" 6 4 4 8 2 7 1 2
"612" 0 0 0 0 0 0 0 0
"613" 37 42 28 48 41 72 38 43
"614" 2 7 1 6 10 10 11 9
"615" 0 0 0 0 0 0 0 0
"616" 0 0 0 0 0 0 0 0
"617" 7 9 7 12 13 18 7 6
"618" 0 0 0 0 0 0 0 0
"619" 8 14 10 14 3 15 5 6
"620" 6 5 0 3 3 0 4 6
"621" 12 6 7 18 9 13 9 13
"622" 24 25 27 13 28 21 28 25
"623" 5 3 4 6 6 3 5 7
"624" 3 1 0 3 5 1 1 3
"625" 14 5 17 12 19 17 14 15
"626" 6 13 3 8 12 19 13 11
"627" 0 0 0 0 0 0 0 0
"628" 6 5 6 4 19 9 8 16
"629" 2 0 0 2 4 3 0 4
"630" 4 4 2 4 3 2 5 3
"631" 14 31 12 29 39 50 26 30
"632" 0 0 0 0 0 0 0 0
"633" 16 16 10 15 22 17 11 10
"634" 3 11 4 9 12 11 12 11
"635" 80 94 92 78 112 97 112 117
"636" 8 12 4 4 4 11 4 8
"637" 32 42 25 30 39 75 46 37
"638" 0 0 0 0 0 0 0 0
"639" 0 0 0 0 0 0 0 0
"640" 17 38 27 30 31 40 33 44
"641" 2 0 3 1 2 4 1 0
"642" 16 13 5 16 17 14 10 11
"643" 28 23 26 34 37 22 27 22
"644" 0 0 0 0 0 0 0 0
"645" 4 6 2 4 11 12 7 12
"646" 28 27 21 16 29 37 51 33
"647" 0 0 0 0 0 0 0 0
"648" 15 9 9 10 6 7 8 5
"649" 0 0 0 0 0 0 0 0
"650" 0 0 0 0 0 0 0 0
"651" 6 6 2 7 17 5 7 8
"652" 6 9 1 5 9 10 6 16
"653" 9 24 23 30 4 12 10 5
"654" 43 31 28 37 37 55 45 47
"655" 28 15 34 26 30 33 34 36
"656" 20 38 25 38 22 23 21 29
"657" 0 0 0 0 0 0 0 0
"658" 7 13 14 8 15 8 15 9
"659" 10 11 5 14 7 15 6 19
"660" 72 121 64 97 90 130 119 95
"661" 1 10 9 3 13 9 12 9
"662" 0 2 2 1 0 1 1 1
"663" 11 8 3 11 9 18 14 10
"664" 0 0 0 0 0 0 0 0
"665" 0 0 0 0 0 0 0 0
"666" 2 2 4 4 4 2 7 5
"667" 1 3 3 4 3 4 2 6
"668" 0 0 0 0 0 0 0 0
"669" 0 0 0 0 0 0 0 0
"670" 0 0 0 0 0 0 0 0
"671" 8 25 8 21 13 19 18 10
"672" 0 0 0 0 0 0 0 0
"673" 5 2 5 2 6 7 5 3
"674" 3 0 5 0 4 3 6 3
"675" 0 0 0 0 0 0 0 0
"676" 0 0 0 0 0 0 0 0
"677" 0 0 0 0 0 0 0 0
"678" 2 1 1 3 2 2 1 3
"679" 22 22 17 15 37 44 35 37
"680" 16 40 20 28 25 18 23 41
"681" 4 5 5 6 1 4 7 4
"682" 4 10 2 2 8 7 7 4
"683" 0 0 0 0 0 0 0 0
"684" 7 12 12 5 22 9 8 17
"685" 0 0 0 0 0 0 0 0
"686" 0 0 0 0 0 0 0 0
"687" 28 37 21 21 30 39 43 34
"688" 7 9 12 10 14 15 9 7
"689" 2 1 2 1 1 5 4 14
"690" 0 0 0 0 0 0 0 0
"691" 6 5 8 10 8 10 7 11
"692" 3 1 2 3 1 4 3 6
"693" 26 12 13 24 34 31 27 21
"694" 0 0 0 0 0 0 0 0
"695" 0 0 0 0 0 0 0 0
"696" 20 14 8 24 17 17 12 10
